correct_answer;question;wrong_answer
"Nel XIX secolo";"In quale secolo si svolse la guerra di Crimea?";"Nel IX secolo|Nel XV secolo|Nel XVII secolo"
XIX;"La guerra di secessione americana si svolse nel secolo:";IX|XII|XV
"Ferdinando Magellano";"La prima circumnavigazione completa del globo fu compiuta dal navigatore portoghese:";"Bartolomeo Díaz|Pedro Alvares Cabral|Vasco da Gama"
"Durante la Rivoluzione francese";"In quale periodo visse Maximilien Robespierre?";"Dopo Napoleone Bonaparte|Durante la Rivoluzione d'ottobre|Sotto il regno di Filippo II"
"La caduta del muro di Berlino";"Quale tra i seguenti avvenimenti si colloca cronologicamente tra la nascita dello Stato d'Israele e le dimissioni di Michail Gorbacëv da presidente dell'URSS? ";"La divisione della Cecoslovacchia in due Stati indipendenti|L'assedio di Sarajevo|L'attacco alle Torri Gemelle"
1929;"In quale anno ebbe inizio la grave recessione economica che, nel periodo tra le due guerre, investì prima gli Stati Uniti e poi l'intera Europa?";1919|1922|1939
"La guerra civile spagnola";"Quale dei seguenti conflitti si colloca tra la prima e la seconda guerra mondiale?";"La guerra del Vietnam|La guerra di Crimea|La terza guerra d'indipendenza italiana"
30;"Quanti anni intercorrono approssimativamente tra la presidenza statunitense di John Fitzgerald Kennedy e quella di Bill Clinton? ";5|50|70
spagnola;"L'impresa di Cristoforo Colombo fu finanziata dalla corona:";francese|olandese|portoghese
"Nel 1821";"In quale anno morì Napoleone Bonaparte?";"Nel 1769|Nel 1799|Nel 1851"
"nella regione messicana dello Yucatan";"I Maya, prima della conquista spagnola, vivevano:";"nell'altopiano del Messico|nell'attuale Perú|nelle isole Antille"
"Rivoluzione francese, guerra franco-prussiana, affare Dreyfus, prima guerra mondiale, conferenza di Yalta";"Quale delle seguenti alternative riporta gli eventi nel corretto ordine cronologico?";"Affare Dreyfus, Rivoluzione francese, conferenza di Yalta, prima guerra mondiale, guerra franco-prussiana|Guerra franco-prussiana, affare Dreyfus, conferenza di Yalta, prima guerra mondiale, Rivoluzione francese|Rivoluzione francese, Guerra franco-prussiana, Conferenza di Yalta, Prima guerra mondiale, Affare Dreyfus"
"Tardo Ottocento-primo Novecento";"In quale periodo si colloca la cosiddetta età dell'Imperialismo?";"Fine Novecento|Metà Settecento|Tardo Settecento-primo Ottocento"
"Guerra dei trent'anni, impresa dei Mille, invenzione dell'aeroplano, guerra del Golfo";"Quale delle seguenti alternative riporta gli eventi nel corretto ordine cronologico?";"Guerra dei trent'anni, invenzione dell'aeroplano, impresa dei Mille, guerra del Golfo|Guerra del Golfo, guerra dei trent'anni, impresa dei Mille, invenzione dell'areoplano|Impresa dei Mille, guerra dei trent'anni, guerra del Golfo, invenzione dell'aeroplano"
"Più di 200";"Quanti anni intercorrono approssimativamente tra la presidenza di George Washington e quella di Bill Clinton? ";"100|50|Più di 300"
"La guerra d'Indocina";"Quale dei seguenti avvenimenti si colloca cronologicamente tra la guerra civile spagnola e l'elezione di John Fitzgerald Kennedy alla presidenza degli Stati Uniti d'America? ";"Il crollo della borsa di Wall Street che ha dato origine alla grande depressione|La crisi della Baia dei porci|La marcia su Roma"
"Nella prima metà del Novecento";"In quale periodo fu scoperta da Alexander Fleming la penicillina?";"Nella prima metà del Settecento|Nella seconda metà del Novecento|Nella seconda metà del Seicento"
"Nel 1944";"In quale anno fu compiuta la strage delle Fosse Ardeatine?";"Nel 1928|Nel 1940|Nel 1950"
"XVII secolo";"Lo statista inglese Oliver Cromwell morì nel:";"XI secolo|XIV secolo|XX secolo"
"XVI secolo";"Caterina de' Medici, regina di Francia, morì nel:";"IX secolo|XIII secolo|XIX secolo"
"Nel XVII secolo";"In quale secolo si svolse la Rivoluzione inglese?";"Nel X secolo|Nel XV secolo|Nel XX secolo"
XV;"La stampa a caratteri mobili fu inventata nel secolo:";IV|IX|XVIII
Duecento;"Marco Polo effettuò il suo viaggio in Cina nel corso del:";Cinquecento|Novecento|Seicento
"A cavallo tra il XVII e il XVIII secolo";"In quale periodo visse Luigi XIV?";"Al termine della prima guerra mondiale|Durante la Rivoluzione francese|Tra il XI e il XII secolo"
"La guerra di secessione americana";"Quale dei seguenti eventi storici si colloca tra l'elezione a presidente di Abramo Lincoln e la sua uccisione?";"La guerra ispano-americana|La Rivoluzione francese|Lo sbarco in Normandia"
Verona;"La città di Custoza, luogo in cui l'esercito piemontese fu sconfitto nel 1848, si trova in provincia di: ";Bologna|Pavia|Venezia
"degli anni '80 dell'Ottocento";"Il motore a scoppio venne progettato e diffuso nel corso:";"degli anni '40 del Novecento|degli anni '70 del Settecento|del primo decennio del Novecento"
"George Stephenson";"Chi progettò la prima locomotiva nel 1814?";"Alessandro Volta|Guglielmo Marconi|James Watt"
"Giovanni Gutenberg";"L'invenzione della stampa a caratteri mobili (XV secolo) si deve a:";"Francesco Bacone|Leonardo da Vinci|Lorenzo Valla"
"Alfred Nobel";"La dinamite fu inventata nel 1887 da:";"Alexander Bell|Antonio Meucci|Joseph Pulitzer"
"Alessandro Volta";"Quale scienziato italiano costruì nel 1799 la prima pila a dischi?";"Enrico Fermi|Galileo Galilei|Lazzaro Spallanzani"
Salerno;"La città di Sapri, località in cui Pisacane e i suoi compagni sbarcarono, si trova in provincia d i:";Messina|Napoli|Roma
Francia;"La regione della Savoia, appartenente nel XIX secolo al Regno sabaudo, si trova attualmente in: ";Guascogna|Italia|Svizzera
Corsica;"La città di Ajaccio, luogo di nascita di Napoleone Bonaparte, si trova in:";Sardegna|Sicilia|Spagna
Latina;"La città di Gaeta, ultima roccaforte borbonica a cadere nel 1860, si trova in provincia di:";Catanzaro|Napoli|Palermo
"Negli Stati Uniti";"In quale Paese Samuel Morse inventò, nel 1844, il telegrafo, in breve universalmente diffuso e utilizzato? ";"In Francia|In Giappone|In Italia"
Spagna;"La città di Cadice, luogo di insurrezioni nel 1820, si trova in:";Belgio|Francia|Italia
Francia;"La città di Chambery, ex capitale sabauda, si trova attualmente in:";Italia|Spagna|Svizzera
"Giovanni da Verrazzano";"Quale dei seguenti navigatori ed esploratori del XV e XVI secolo era italiano?";"Alvaro Cabral|Bartolomeo Diaz|Vasco de Gama"
Milano;"La città di Magenta, località dove l'esercito franco-piemontese vinse gli Austriaci durante la seconda guerra d'indipendenza, si trova in provincia di: ";Napoli|Torino|Verona
"trecento anni";"Tra il Rinascimento e il Risorgimento intercorrono circa:";"cinquanta anni|cinquecento anni|novecento anni"
Napoli;"La città di Nola, località dove scoppiò, nel 1820, un moto rivoluzionario carbonaro si trova in provincia di: ";Enna|Roma|Salerno
Croazia;"La città di Fiume, luogo dove D'Annunzio si recò nel 1919 a capo di un gruppo di patrioti italiani, si trova attualmente in: ";Austria|Francia|Italia
Mantova;"La città di Goito, località in cui l'esercito piemontese sconfisse gli Austriaci nel 1848, si trova in provincia di: ";Milano|Venezia|Verona
Pavia;"La città di Montebello, località dove gli Austriaci vennero sconfitti durante la seconda guerra di indipendenza, si trova in provincia di: ";Alessandria|Genova|Mantova
Sicilia;"La città di Marsala, località in cui sbarcarono i Mille, si trova in:";Calabria|Lazio|Piemonte
Mantova;"La città di San Martino, dove gli Austriaci vennero sconfitti dalle truppe franco-piemontesi durante il Risorgimento, si trova in provincia di: ";Milano|Roma|Vicenza
"Seconda guerra mondiale";"In quale guerra si combatté la battaglia di El Alamein?";"Guerra del Golfo|Prima guerra mondiale|Terza guerra d'indipendenza italiana"
Genova;"La città di Quarto, luogo da dove partirono i Mille, si trova in provincia di:";Milano|Napoli|Palermo
"dall'inglese Stephenson";"La prima locomotiva a vapore fu messa a punto nel 1829:";"dal francese Balzac|dall'americano Franklin|dall'italiano Breda"
Africa;"Nel corso del XIX secolo, le esplorazioni di Stanley e Livingstone si svolsero in:";Australia|Borneo|Patagonia
"Nel 1927";"In quale anno l'americano Charles Lindbergh attraversò l'Oceano Atlantico con un monoplano a motore?";"Nel 1847|Nel 1889|Nel 1967"
Verona;"La città di Villafranca, dove venne firmato nel 1859 l'Armistizio che pose fine alla seconda guerra d'indipendenza italiana, si trova in provincia di: ";Bologna|Milano|Torino
XVIII;"James Watt inventò la macchina a vapore nel secolo:";XV|XVI|XX
"Ferdinando Magellano";"Quale dei seguenti navigatori ed esploratori del XV e XVI secolo NON era italiano?";"Amerigo Vespucci|Cristoforo Colombo|Giovanni Caboto"
"tardo Seicento";"Isaac Newton formulò la legge di gravitazione universale nel:";"primo Duecento|primo Novecento|tardo Ottocento"
"la pila";"Nel 1800, Alessandro Volta costruì:";"il telefono|il telescopio|la dinamo"
"Alla seconda metà del XVIII secolo";"A quale periodo risale l'esplorazione dell'Australia a opera di Cook?";"A un'epoca antecedente la scoperta dell'America|Al Medio Evo|Alla prima metà del XX secolo"
"la lampadina elettrica";"Nel 1879, l'americano Thomas Edison mise a punto: ";"il motore a scoppio|il telegrafo|la pila"
"Nell'età del bronzo";"In quale periodo venne inventata la ruota?";"Nel I secolo d.C.|Nella Roma antica|Nell'anno 1000"
"Thomas Alva Edison";"A quale tra i seguenti personaggi si deve la costruzione, nel 1879, della prima lampadina elettrica? ";"Antonio Meucci|Guglielmo Marconi|Werner Von Siemens"
"primo Ottocento";"La prima locomotiva a vapore fu inventata e collaudata da George Stephenson nel:";"primo Settecento|secondo Novecento|secondo Seicento"
Settecento;"L'esplorazione da parte di James Cook dell'Australia e della Nuova Zelanda avvenne nel corso del: ";Novecento|Quattorcento|Trecento
"Yuri Gagarin";"Nel 1961, il primo uomo inviato nello spazio fu:";"Laurenti Beria|Lev Yaschin|Sergej Bubka"
"L'aratro a versoio";"Quali delle seguenti innovazioni tecniche, che contribuirono a migliorare la produzione agricola, si diffuse dal VI al X secolo? ";"I fertilizzanti chimici|Il latifondo|La recinzione delle terre"
"un attacco terroristico alle Twin Towers di New York";"L'11 settembre 2001 vi fu:";"un attacco terroristico alla metropolitana di Londra|un attacco terroristico alla metropolitana di Tokio|un attacco terroristico alla stazione Atocha di Madrid"
Cancelliere;"Quale carica ricopriva nella Prussia ottocentesca Otto Von Bismarck?";"Ambasciatore|Presidente|Principe reggente"
"L'eliminazione della schiavitù";"Cosa si proponeva l'abolizionismo statunitense del XIX secolo?";"L'eliminazione della coscrizione obbligatoria|L'eliminazione delle differenze di classe|L'instaurazione di un regime comunista"
Parigi;"In quale città si svolsero, nel 1871, gli eventi della cosiddetta ""Comune""?";Madrid|Tunisi|Vienna
1861-1865;"In quali anni fu combattuta la guerra di secessione americana?";1492-1496|1776-1780|1939-1945
"Il ritorno alla situazione politica esistente prima della Rivoluzione Francese e dell'età napoleonica ";"Cosa fu la Restaurazione seguita al Congresso di Vienna?";"Il restauro delle chiese violate dai giacobini|Il restauro delle città distrutte dai moti rivoluzionari|Il risarcimento ai nobili per i danni patiti durante la Rivoluzione francese"
"Il periodo compreso tra l'ultimo ventennio dell'Ottocento e lo scoppio della prima guerra mondiale ";"Quale epoca viene definita in ambito storiografico ""età dell'Imperialismo""?";"Il periodo compreso tra la fine della prima guerra mondiale e l'inizio della seconda|Il primo quarto dell'Ottocento|L'epoca successiva alla fine della guerra fredda"
1871;"L'unificazione tedesca avvenne nel:";1918|1933|1939
"Uno statista austriaco della prima metà del XIX secolo";"Chi era Metternich?";"Un diplomatico al servizio di Caterina II di Russia|Uno dei più famosi marescialli di Napoleone|Uno statista prussiano della seconda metà del XIX secolo"
"A Vienna";"In quale città si svolse, nel primo Ottocento, il Congresso che diede inizio all'età della Restaurazione? ";"A Berlino|A Lisbona|A Milano"
"Nella seconda metà del XIX secolo";"Quando si colloca l'attività politica di Otto von Bismarck?";"Nel XVII secolo|Nel XX secolo|Nella prima metà del XVIII secolo"
Vittoria;"In Gran Bretagna, nel 1837, iniziò il lungo regno della regina:";"Astrid|Elisabetta II|Evita"
1814-15;"A quali anni risale il Congresso di Vienna?";1492-93|1881-82|1902-03
Lincoln;"Chi era il Presidente degli Stati del Nord durante la guerra di secessione americana?";Johnson|Kennedy|Roosvelt
"da moti rivoluzionari";"In Europa, il 1830 fu caratterizzato:";"dalla fine di uno stato di profonda crisi economica|dalla nascita dei primi partiti|dalla rivoluzione bolscevica"
"Russia, Prussia, Austria";"Quali Stati costituirono nel 1815 la Santa Alleanza?";"Gran Bretagna, Italia, Impero ottomano|Spagna, Italia, Francia|Stato della Chiesa, Regno di Sardegna, Granducato di Toscana"
"la Santa Alleanza";"Nel 1815 dal Congresso di Vienna nacque:";"la Federazione monarchica|la Triplice Alleanza|l'Unione legittimista"
"Il Cancelliere artefice dell'Unità tedesca";"Chi era Otto von Bismarck?";"Il primo Presidente della Repubblica di Weimar|Un famoso gastronomo tedesco|Uno statista austriaco"
"Napoleone III e Cavour";"Il 20 luglio 1858 a Plombières si incontrarono segretamente:";"Cavour e il papa|Cavour e Mazzini|Metternich e Cavour"
"colonia penale";"L'Australia venne inizialmente utilizzata dall'Inghilterra come:";"centro dell'industria carbonifera|importante centro di scambi commerciali|sede di nuove attività industriali"
"Impero spagnolo";"Quale Impero europeo perse nel 1898 il controllo di Cuba e delle Filippine?";"Impero americano|Impero austro-ungarico|Impero sovietico"
"Alfred Dreyfus";"Quale dei seguenti personaggi subì, negli ultimi anni dell'Ottocento, un famoso processo per alto tradimento (da cui il nome di ""affaire ..."")? ";"Gavrilo Princip|George Custer|Robert Edward Lee"
"la Francia";"Nel 1870 il cancelliere Otto von Bismarck condusse la Prussia in una guerra contro:";"gli Stati Uniti d'America|la Russia|l'Italia"
"Nell'ottobre 1814";"Quando si aprirono i lavori del Congresso di Vienna?";"Nel maggio 1793|Nell'agosto 1945|Nell'ottobre 1914"
Nipote;"Napoleone III, imperatore di Francia nel 1851, che relazione di parentela aveva con Napoleone Bonaparte? ";Figlio|Fratello|Nessuna
1848;"Il ""Manifesto del Partito Comunista"" venne pubblicato da Marx ed Engels nel:";1815|1867|1917
"Piano Marshall";"Il piano americano per gli aiuti economici ai Paesi europei, successivo alla Seconda guerra mondiale, si chiamò:";"Affaire Dreyfuss|Dottrina Monroe|Operazione Overlord"
"Karl Marx";"Chi scrisse Il Capitale?";"Filippo Turati|Herbert Spencer|Mikhail Bakunin"
Stalingrado;"Presso quale città si arrestò definitivamente, nel 1943, l'avanzata tedesca in Russia?";Kiev|Leningrado|Vladivostock
"Gran Bretagna, Francia, Italia, Stati Uniti";"Quali Paesi, tra gli altri, hanno vinto la prima guerra mondiale?";"Germania, Austria-Ungheria|Germania, Italia, Giappone|Unione Sovietica, Cina, Cuba"
1963-1975;"In quali anni gli Stati Uniti combatterono la Guerra del Vietnam?";1860-1879|1861-1865|1941-1945
tedesche;"Nella seconda guerra mondiale, i razzi telecomandati V1 e V2 erano le armi segrete:";britanniche|italiane|statunitensi
"Paesi Bassi";"Quale dei seguenti Stati rimase neutrale nella prima guerra mondiale?";Francia|Germania|Russia
1948-1952;"In quali anni fu particolarmente attivo il piano americano per gli aiuti economici ai Paesi alleati duramente colpiti dalla Seconda guerra mondiale (Piano Marshall)?";1941-1945|1943-1945|1955-1960
Norvegia;"Quale dei seguenti Stati rimase neutrale nella prima guerra mondiale?";Francia|Germania|Italia
Austria-Ungheria;"Contro quale dei seguenti Stati era schierata la Serbia nella prima guerra mondiale?";Cuba|Inghilterra|Spagna
Germania;"Contro quale dei seguenti Stati era schierata la Russia nella prima guerra mondiale?";"Francia|Italia|Stati Uniti d'America"
Finlandia;"Quale dei seguenti Stati rimase neutrale nella prima guerra mondiale?";Francia|Italia|Russia
Austria-Ungheria;"Contro quale dei seguenti Stati erano schierati gli Stati Uniti d'America nella prima guerra mondiale? ";Inghilterra|Italia|Spagna
1945;"In quale anno si svolse la Conferenza di Yalta?";1918|1936|1989
Praga;"Quale delle seguenti città, nel 1968, fu teatro di una particolare ""Primavera""?";Berlino|Costantinopoli|Madrid
"l'anno successivo allo scoppio della guerra";"L'Italia entrò nel primo conflitto mondiale:";"contemporaneamente agli Stati Uniti|insieme al Giappone|quando la Gran Bretagna le dichiarò guerra"
Messico;"Quale dei seguenti Stati rimase neutrale nella prima guerra mondiale?";"Francia|Germania|Stati Uniti"
Russia;"Quale dei seguenti Paesi, in seguito alla vittoria della rivoluzione comunista, uscì dalla prima guerra mondiale nel novembre 1917? ";"Cina|Germania|Stati Uniti"
"seconda guerra mondiale";"Con l'invasione della Polonia cominciò la:";"destalinizzazione nei Paesi sovietici|prima guerra d'Indipendenza italiana|prima guerra mondiale"
Nessuno;"Quale ruolo istituzionale ricoprì Ghandi in India?";"Primo ministro|Primo presidente dell'India indipendente|Ultimo viceré nominato dalla Gran Bretagna"
Comecon;"Con quale denominazione era noto il ""Consiglio di Mutuo Aiuto Economico"" tra le Repubbliche socialiste sovietiche? ";"Ceka|Comintern|Patto di Varsavia"
Sarajevo;"Il celebre attentato che provocò la prima guerra mondiale si verificò nella città di:";Budapest|Fiume|Praga
Socialista;"A quale dei seguenti partiti appartenne il presidente Sandro Pertini?";Comunista|Liberale|Repubblicano
"agli Israeliani";"L'""Intifada"" è la sollevazione popolare che oppone i Palestinesi:";"agli Iraniani|ai Siriani|ai Talebani"
"a Pearl Harbor";"Il primo attacco giapponese agli USA durante la seconda guerra mondiale fu:";"a Cuba|alla Baia dei Porci|alle Piccole Antille"
"Dopo la prima guerra mondiale";"In quale periodo venne proclamata l'Unione delle Repubbliche Socialiste Sovietiche?";"Dopo la seconda guerra mondiale|Durante la conferenza di Yalta|Durante la guerra di Crimea"
Tito;"Il leader della resistenza jugoslava alle forze di occupazione naziste fu:";Franco|Milosevich|Stalin
"Tra la fine degli anni Quaranta e la fine degli Ottanta";"In quale periodo del XX secolo si colloca la Guerra fredda?";"Negli anni Novanta|Negli anni Trenta|Tra la fine degli anni Venti e la metà dei Cinquanta"
Italia;"Durante la seconda guerra mondiale, in quale Paese si trovava la ""linea gotica""?";Francia|Germania|Russia
1930-1940;"In quale decennio del XX secolo si colloca la ""grande depressione"" che colpì gli Stati Uniti";1900-1910|1910-1920|1940-1950
Austria-Ungheria;"Quale delle seguenti nazioni era alleata della Germania nella prima guerra mondiale?";Francia|Portogallo|Serbia
"Stati Uniti d'America";"Con quale dei seguenti Stati era alleata l'Unione Sovietica nella seconda guerra mondiale?";Portogallo|Spagna|Svizzera
1917;"A quale anno risale l'inizio della Rivoluzione russa?";1848|1907|1945
"dell'Austria contro l'Italia";"La Strafexpedition (spedizione punitiva), iniziata il 15 maggio 1916, era un'operazione militare:";"della Francia contro la Russia|della Germania contro la Francia|della Russia contro la Gran Bretagna"
"Francesco Giuseppe";"Quale dei seguenti sovrani europei morì durante la prima guerra mondiale?";"Guglielmo II|La regina Vittoria|Vittorio Emanuele III"
Svizzera;"Quale delle seguenti nazioni fu neutrale nella prima guerra mondiale?";Austria-Ungheria|Belgio|Romania
Olanda;"Quale delle seguenti nazioni fu neutrale nella prima guerra mondiale?";Austria-Ungheria|Italia|Russia
"Gran Bretagna";"L'operazione ""Leone Marino"", preparata da Hitler nel 1940, contro quale Paese era rivolta?";Francia|Giappone|Italia
Francia;"Quale delle seguenti nazioni era alleata dell'Italia nella prima guerra mondiale?";Austria|Germania|Turchia
"novembre 1918";"Alla fine della prima guerra mondiale, l'Austria-Ungheria firmò l'armistizio con l'Italia nel:";"febbraio 1922|marzo 1920|settembre 1915"
Stalin;"Quale dei seguenti personaggi fu un leader politico dell'URSS?";Bubka|Ceaucescu|Pasternak
"Triplice Intesa";"Come era chiamata l'alleanza fra Francia, Gran Bretagna e Russia dei primi anni del Novecento? ";"Asse tripartitico|Doppia Alleanza|Intesa Cordiale"
Irlanda;"Dove si trova la regione dell'Ulster, teatro di violenti scontri di carattere politico e religioso?";"Francia|Inghilterra|Paesi Bassi"
"Nel 1942";"In quale anno si combatté la battaglia di Stalingrado?";"Nel 1939|Nel 1945|Nel 1946"
"L'alleanza politico-militare dell'Europa occidentale e del Canada con gli USA";"Cosa si intende per ""Patto Atlantico""?";"Il patto di alleanza tra tutte le Repubbliche Sovietiche in opposizione agli USA|Il patto tra Germania Est e URSS per reciproci accordi commerciali|Il trattato di non belligeranza tra URSS e USA"
"Patto di Londra";"Nel 1915 l'Italia entrò nella prima guerra mondiale sottoscrivendo il:";"Capitolare di Quierzy|Patto di Mosca|Trattato di Utrecht"
Spagna;"Quale delle seguenti nazioni fu neutrale nella prima guerra mondiale?";Germania|Russia|USA
Italia;"Con quale dei seguenti Stati era alleata la Francia nella prima guerra mondiale?";Austria-Ungheria|Bulgaria|Germania
"Roosevelt, Churcill e Stalin";"Alla conferenza interalleata di Teheran del 1943, chi partecipò in rappresentanza di Stati Uniti, Gran Bretagna e Unione Sovietica? ";"Eisenhower, Churchill e Stalin|Roosevelt, Lloyd George e Molotov|Wilson, Churcill e Molotov"
1991;"L'operazione militare ""Desert Storm"" contro il Presidente iracheno Saddam Hussein si svolse nel: ";1979|1980|2000
"un'agenzia dell'ONU che si occupa di combattere la fame nel mondo e sviluppare l'agricoltura";"La FAO è:";"un organismo per la promozione dell'istruzione nei Paesi in via di sviluppo|una divisione della CIA, l'agenzia di spionaggio statunitense|un'organizzazione internazionale di polizia"
"Si schierò con l'Intesa ma uscì dal conflitto nel 1917";"Durante la prima guerra mondiale, quale posizione assunse la Russia?";"Si alleò con la Spagna|Si schierò con l'Austria-Ungheria|Si schierò con l'Impero Ottomano"
Cecoslovacchia;"Nel 1919, tra i vari stati sorti dallo sfaldamento dell'Impero Austro-Ungarico, nacque la:";"Repubblica democratica turca|Repubblica di Weimar|Repubblica socialista polacca"
"Perché fu caratterizzata da scontri combattuti in trincea";"Perché la prima guerra mondiale viene definita guerra di logoramento?";"Perché fu combattuta con battaglie campali|Perché logorò psichicamente le popolazioni civili colpite dai continui bombardamenti aerei|Poiché comportò il deperimento di grandi quantità di materiale bellico e civile"
"Rimase neutrale";"Durante la prima guerra mondiale, quale posizione assunse la Spagna?";"Si alleò con l'Italia|Si schierò con la Germania|Si schierò con le potenze dell'Intesa"
"Gran Bretagna";"Con quale dei seguenti Stati era alleata la Russia nella prima guerra mondiale?";Austria-Ungheria|Bulgaria|Spagna
"Si schierò al fianco della Gran Bretagna e della Russia";"Durante la prima guerra mondiale, quale posizione assunse la Francia?";"Si alleò con la Spagna|Si schierò con la Germania|Si schierò contro l'Intesa"
"Gran Bretagna";"Con quale dei seguenti Stati erano alleati gli Stati Uniti d'America nella prima guerra";Austria-Ungheria|Bulgaria|Spagna
Italia;"Con quale dei seguenti Stati era alleata la Gran Bretagna nella prima guerra mondiale?";Austria-Ungheria|Bulgaria|Germania
"gli Imperi centrali";"Nel 1917, il governo bolscevico firmò un armistizio con:";"|i Paesi dell'Intesa|"
"inflissero una pesante sconfitta all'Italia";"Nel 1917, a Caporetto gli Austro-Tedeschi:";"firmarono un armistizio|furono sconfitti dall'Italia|subirono una pesante controffensiva da parte dell'Intesa"
"Germania e Austria-Ungheria";"Durante il primo conflitto mondiale, gli ""Imperi centrali"" erano:";"Germania e Russia|Gran Bretagna e Francia|Svizzera e Belgio"
"Missili terra-aria";"Quale delle seguenti armi non fu usata nel corso della prima guerra mondiale?";"Aerei da combattimento|Gas asfissianti|Sottomarini"
"al Piave";"Nel 1917, la penetrazione austriaca nei confini italiani arrivò fino:";"a Mantova|a Ravenna|a Venezia"
"lo sbarco in Normandia";"Per D-Day, durante la seconda guerra mondiale, si intende:";"la spedizione punitiva contro l'alleato traditore|lo sbarco in Sicilia|lo sfondamento della linea Maginot"
"Teheran, Yalta e Potsdam";"Al termine della seconda guerra mondiale, vi furono le tre conferenze di:";"Bretton Woods, Vichy e Teheran|Liverpool, Berlino e Mosca|Mosca, Washington e Potsdam"
aereo;"Nel 1940 si svolse la ""battaglia d'Inghilterra"" che fu uno scontro:";navale|sottomarino|terrestre
1933;"L'ascesa al potere di Hitler avvenne nel:";1923|1938|1945
Italia;"Quale delle seguenti nazioni era alleata dell'Intesa nella prima guerra mondiale?";Austria|Germania|Turchia
Bulgaria;"Quale delle seguenti nazioni era alleata della Germania nella prima guerra mondiale?";"Francia|Italia|Nuova Zelanda"
Roosevelt;"Quale Presidente degli Stati Uniti d'America inaugurò un ""nuovo corso"" (il cosiddetto ""New Deal"") della storia statunitense negli anni Trenta del XX secolo? ";Hoover|Nixon|Wilson
1914;"Durante la prima guerra mondiale, la Francia entrò in guerra contro gli Imperi centrali nel:";1912|1915|1917
"Negli anni sessanta del Novecento";"In quale periodo in diverse regioni africane finì il colonialismo europeo?";"Durante la prima guerra mondiale|Negli anni novanta del Novecento|Nel primo decennio del Novecento"
"all'attacco degli aerei giapponesi contro la flotta americana ancorata a Pearl Harbor";"Il 6 dicembre del 1941, gli Stati Uniti scesero in guerra contro il Giappone in seguito:";"alla battaglia navale di Leyte|alla vittoria degli inglesi a El Alamein sulle truppe italiane e tedesche|allo scontro navale di Midway"
"URSS e governi dell'Europa centro-orientale";"Quali Paesi, dal 1955 al 1991, sono stati legati dal patto di Varsavia?";"Unione Europea e USA||"
"dell'uccisione di John F. Kennedy";"Lee Harvey Oswald fu accusato:";"dell'uccisione di Malcolm X|dell'uccisione di Martin Luther King|di essere una spia cinese"
Cuba;"Nel 1959 Fidel Castro conquistò il potere in un'isola vicina alle coste statunitensi. Quale?";"Guadalupa|Haiti|Santo Domingo"
1968;"Martin Luther King venne assassinato nel:";1956|1970|1978
1963;"A partire da quale anno gli USA intervennero direttamente nella guerra del Vietnam?";1945|1952|1981
Dallas;"In quale città venne ucciso J. F. Kennedy?";"Boston|Los Angeles|New York"
"rimase neutrale";"La Spagna, durante la seconda guerra mondiale:";"entrò in guerra al fianco degli Alleati solo quando fu certa della partecipazione degli Stati Uniti|entrò in guerra al fianco di Germania e Italia|si schierò con Francia e Gran Bretagna"
"Una linea fortificata lungo il confine sudorientale francese";"Che cosa era la ""linea Maginot""?";"Il confine tra l'Italia liberata dagli Alleati e la parte ancora soggetta ai nazisti|Il nuovo confine della Germania dopo l'annessione dell'Austria|Una linea di moda francese diffusasi durante la seconda guerra mondiale"
"Malcolm X";"Quale dei seguenti personaggi fu un leader del gruppo afroamericano dei ""Musulmani Neri""? ";"Martin Luther King|Mike Tyson|Muhammad Ali"
"Woodrow Wilson";"Quale politico statunitense aveva redatto, al termine della prima guerra mondiale, un programma in ""14 punti"" per la costruzione di un nuovo equilibrio mondiale, basato sulla collaborazione tra le nazioni?";"Dwight D. ""Ike"" Eisenhower|Franklin Delano Roosevelt|Winston Churchill"
"Iosif Stalin";"Quale tra i seguenti personaggi, oltre a Winston Churchill e a Franklin Delano Roosevelt, era presente nel 1945 alla Conferenza di Jalta? ";"Benito Mussolini|Édouard Daladier|Nikita Kruscev"
"dopo la prima guerra mondiale";"L'Impero ottomano cessò di esistere:";"al termine dell'invasione sovietica dell'Afghanistan|dopo la seconda guerra mondiale|insieme alla Repubblica di Venezia"
"Fulgencio Batista ";"Nel 1959, il cubano Fidel Castro spodestò:";"Emiliano Zapata|Ernesto Che Guevara|Juan Domingo Peron"
1980-1990;"In quale dei seguenti decenni si svolse la guerra tra Iran e Iraq?";1920-1930|1950-1960|1970-1980
"Stati Uniti";"Quale tra i seguenti Stati entrò per ultimo nella prima guerra mondiale?";"Francia|Gran Bretagna|Italia"
"uscì dal primo conflitto mondiale ";"Con il trattato di Brest-Litovsk, la Russia del 1918:";"decise di entrare nella prima guerra mondiale|sancì un'alleanza con gli Imperi centrali|stipulò un'alleanza con i Paesi dell'Intesa"
Versailles;"Il trattato di pace con la Germania al termine della prima guerra mondiale fu firmato a:";Berlino|Londra|Roma
"Consiglio di operai e soldati";"Qual è il significato del termine ""soviet"", utilizzato nel corso della rivoluzione russa?";"Assemblea costituente|Consiglio dei burocrati|Organo di autogoverno militare"
"Al Patto Atlantico";"A quale organizzazione si contrapponeva il Patto di Varsavia?";"Al Comecon|Alla FAO|All'ONU"
